File,Class,isDC,isGC
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.PutHBaseRecord,PutHBaseRecord,1,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.PutHBaseRecord,PutCreationFailedInvokedException,1,0
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.PutHBaseJSON,PutHBaseJSON,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.FetchHBaseRow,FetchHBaseRow,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.FetchHBaseRow,FlowFileAttributeHandler,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.ScanHBase,ScanHBase,1,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.ScanHBase,ScanHBaseResultHandler,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.util.StringSerDe,StringSerDe,1,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.util.RowSerializerUtil,RowSerializerUtil,1,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.util.VisibilityUtil,VisibilityUtil,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.util.ObjectSerDe,ObjectSerDe,1,0
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.io.JsonQualifierAndValueRowSerializer,JsonQualifierAndValueRowSerializer,0,1
nifi.nifi-nar-bundles.nifi-network-bundle.nifi-network-processors.src.test.java.org.apache.nifi.processors.network.TestParseNetflowv5,TestParseNetflowv5,1,1
nifi.nifi-nar-bundles.nifi-network-bundle.nifi-network-processors.src.main.java.org.apache.nifi.processors.network.ParseNetflowv5,ParseNetflowv5,0,1
nifi.nifi-nar-bundles.nifi-network-bundle.nifi-network-utils.src.test.java.org.apache.nifi.processors.network.TestNetflowv5Parser,TestNetflowv5Parser,1,1
nifi.nifi-nar-bundles.nifi-network-bundle.nifi-network-utils.src.main.java.org.apache.nifi.processors.network.parser.Netflowv5Parser,Netflowv5Parser,1,1
nifi.nifi-nar-bundles.nifi-network-bundle.nifi-network-utils.src.main.java.org.apache.nifi.processors.network.parser.util.ConversionUtil,ConversionUtil,1,1
nifi.nifi-nar-bundles.nifi-aws-bundle.nifi-aws-processors.src.test.java.org.apache.nifi.processors.aws.TestAWSCredentials,TestAWSCredentials,0,1
nifi.nifi-nar-bundles.nifi-aws-bundle.nifi-aws-processors.src.test.java.org.apache.nifi.processors.aws.cloudwatch.TestPutCloudWatchMetric,TestPutCloudWatchMetric,0,1
nifi.nifi-nar-bundles.nifi-aws-bundle.nifi-aws-processors.src.test.java.org.apache.nifi.processors.aws.cloudwatch.ITPutCloudWatchMetric,ITPutCloudWatchMetric,0,1
nifi.nifi-nar-bundles.nifi-aws-bundle.nifi-aws-processors.src.test.java.org.apache.nifi.processors.aws.cloudwatch.MockPutCloudWatchMetric,MockPutCloudWatchMetric,1,0
nifi.nifi-nar-bundles.nifi-aws-bundle.nifi-aws-processors.src.test.java.org.apache.nifi.processors.aws.credentials.provider.service.AWSCredentialsProviderControllerServiceTest,AWSCredentialsProviderControllerServiceTest,0,1
